var_host_name	if_br_umgt_ip	if_br_umgt_mask	if_br_umgt_gw	if_br_ustr_ip	if_br_ustr_mask	if_br_ustr_gw	if_br_stra_ip	if_br_stra_mask	if_br_stra_gw	if_br_strb_ip	if_br_strb_mask	if_br_strb_gw	if_br_bkp_ip	if_br_bkp_mask	if_br_bkp_gw	if_br_prv_ip	if_br_prv_mask	if_br_prv_gw
localhost	10.23.40.129	255.255.255.192	10.23.40.190	10.23.72.129	255.255.255.192	10.23.72.190	10.23.88.129	255.255.255.192	10.23.88.190	10.23.96.129	255.255.255.192	10.23.96.190	10.23.73.65	255.255.255.192	10.23.73.126	10.23.80.129	255.255.255.192	10.23.80.190
pd23-srv-046.kvm.gt.sbcp.ru	10.23.40.130	255.255.255.192	10.23.40.190	10.23.72.130	255.255.255.192	10.23.72.190	10.23.88.130	255.255.255.192	10.23.88.190	10.23.96.130	255.255.255.192	10.23.96.190	10.23.73.66	255.255.255.192	10.23.73.126	10.23.80.130	255.255.255.192	10.23.80.190
